failure_event_id,asset_id,location_id,event_time,failure_mode,suspected_cause,weather_context,downtime_hours,linked_work_order_id
FE0000602,AST000770,LOC0006,2024-10-12 13:08:23,Step chain issue,Water Ingress,Heat Wave,3.8,WO0006458
FE0000603,AST001004,LOC0005,2024-08-28 18:33:48,Door fault,Debris,Clear,13.91,
FE0000604,AST000885,LOC0008,2025-01-05 16:22:19,Interlocking fault,Water Ingress,High Humidity,3.54,WO0000050
FE0000605,AST000564,LOC0006,2024-08-09 23:13:13,Step chain issue,Wear & Tear,High Humidity,6.44,WO0003237
FE0000606,AST000236,LOC0010,2023-08-19 09:04:24,Sensor fault,Vandalism,Clear,7.14,
FE0000607,AST000077,LOC0019,2023-04-15 04:43:23,Track circuit failure,Wear & Tear,Heat Wave,3.56,
FE0000608,AST000637,LOC0021,2025-06-20 13:57:05,Control board fault,Wear & Tear,Clear,8.06,WO0005190
FE0000609,AST000211,LOC0016,2024-07-24 06:26:17,Propulsion fault,Design Limitation,Rain,6.91,WO0003820
FE0000610,AST000754,LOC0006,2024-08-28 08:23:02,Communication loss,Unknown,Rain,8.26,WO0005144
FE0000611,AST000506,LOC0024,2024-09-10 14:12:50,HVAC failure,Vandalism,Clear,3.35,WO0004882
FE0000612,AST000274,LOC0001,2025-04-24 00:50:15,Overheating,Wear & Tear,Clear,6.28,
FE0000613,AST000753,LOC0008,2024-04-27 12:39:28,Motor issue,Vandalism,Clear,8.01,
FE0000614,AST000847,LOC0008,2023-03-05 14:42:54,Water intrusion,Power Quality,Clear,7.27,WO0000057
FE0000615,AST000484,LOC0001,2025-03-24 11:32:47,Trip event,Vandalism,Clear,17.82,WO0008827
FE0000616,AST000454,LOC0019,2023-10-01 19:56:16,Water intrusion,Unknown,Clear,13.2,WO0006117
FE0000617,AST000407,LOC0019,2023-04-27 23:05:49,Bond wire issue,Wear & Tear,Clear,8.14,
FE0000618,AST000142,LOC0017,2024-06-26 03:53:40,Propulsion fault,Wear & Tear,Clear,7.1,
FE0000619,AST000988,LOC0020,2025-03-17 10:34:31,Insulation fault,Wear & Tear,Clear,8.03,WO0008897
FE0000620,AST000250,LOC0019,2023-05-08 06:42:19,Relay failure,Wear & Tear,Rain,2.6,
FE0000621,AST000293,LOC0009,2025-09-20 07:55:39,Trip event,Water Ingress,Clear,3.17,WO0002764
FE0000622,AST000215,LOC0016,2023-03-23 02:11:46,Interlocking fault,Wear & Tear,Clear,7.16,WO0001909
FE0000623,AST000956,LOC0007,2025-03-18 14:25:35,HVAC failure,Water Ingress,High Humidity,3.4,WO0005833
FE0000624,AST000561,LOC0023,2023-05-10 18:49:33,Water intrusion,Wear & Tear,Clear,6.56,
FE0000625,AST000002,LOC0013,2025-03-21 09:06:49,Motor issue,Design Limitation,High Humidity,13.49,WO0007157
FE0000626,AST000272,LOC0014,2025-09-07 20:37:57,HVAC failure,Wear & Tear,Clear,5.49,WO0007421
FE0000627,AST000318,LOC0016,2024-07-07 10:47:04,Motor issue,Wear & Tear,Clear,2.69,WO0000066
FE0000628,AST000215,LOC0016,2025-04-17 14:28:58,Track circuit failure,Power Quality,Rain,11.68,WO0006258
FE0000629,AST000508,LOC0007,2025-08-17 12:22:29,Communication loss,Water Ingress,Clear,18.02,WO0001501
FE0000630,AST001078,LOC0009,2025-01-11 18:04:19,Track circuit failure,Water Ingress,Clear,17.09,
FE0000631,AST000007,LOC0007,2025-08-23 11:26:39,Insulation fault,Improper Adjustment,Clear,16.68,WO0003281
FE0000632,AST000192,LOC0017,2025-05-07 21:39:49,HVAC failure,Unknown,Clear,16.6,WO0002661
FE0000633,AST000415,LOC0007,2024-02-06 23:35:08,Hydraulic leak,Water Ingress,Clear,7.79,
FE0000634,AST000530,LOC0025,2024-05-04 05:22:49,Motor failure,Water Ingress,High Humidity,5.95,
FE0000635,AST000216,LOC0013,2024-09-27 16:48:01,Water intrusion,Design Limitation,Clear,2.69,
FE0000636,AST000608,LOC0016,2025-11-05 12:24:41,Step chain issue,Wear & Tear,Clear,20.88,WO0008529
FE0000637,AST000479,LOC0011,2024-03-15 20:33:44,Propulsion fault,Debris,Clear,3.85,WO0000383
FE0000638,AST001117,LOC0003,2024-09-14 10:09:54,Communication loss,Wear & Tear,Rain,3.29,WO0000783
FE0000639,AST000026,LOC0003,2023-09-03 05:49:49,Door fault,Debris,Clear,1.27,
FE0000640,AST001110,LOC0025,2025-11-02 09:48:47,Interlocking fault,Debris,Clear,2.36,WO0004422
FE0000641,AST000864,LOC0006,2023-05-01 06:03:40,Sensor fault,Wear & Tear,Clear,0.89,WO0001554
FE0000642,AST000199,LOC0017,2024-11-25 09:20:37,Propulsion fault,Power Quality,Snow,10.38,WO0006760
FE0000643,AST000588,LOC0018,2024-07-01 09:48:45,Water intrusion,Wear & Tear,Clear,4.91,
FE0000644,AST001084,LOC0007,2023-10-09 19:20:20,Track circuit failure,Wear & Tear,Clear,5.98,
FE0000645,AST000281,LOC0002,2024-02-26 06:00:37,Overheating,Wear & Tear,Clear,1.69,WO0006359
FE0000646,AST000641,LOC0009,2024-08-11 18:24:52,Insulation fault,Design Limitation,Clear,4.49,
FE0000647,AST001035,LOC0024,2023-09-03 12:33:18,Brake issue,Wear & Tear,Clear,5.53,WO0006732
FE0000648,AST000122,LOC0008,2024-09-08 01:32:51,Insulation fault,Vandalism,Clear,2.25,WO0004095
FE0000649,AST000776,LOC0017,2025-02-15 06:56:17,Control failure,Unknown,Rain,10.84,WO0007788
FE0000650,AST000218,LOC0020,2025-06-19 19:36:03,Heater failure,Water Ingress,Clear,7.6,WO0000725
FE0000651,AST000066,LOC0010,2024-08-09 13:20:14,Track circuit failure,Vandalism,Snow,10.02,
FE0000652,AST000968,LOC0014,2025-06-11 17:40:20,Door fault,Debris,Clear,12.32,
FE0000653,AST000767,LOC0004,2024-09-30 19:07:23,Insulation breakdown,Wear & Tear,Clear,4.59,WO0006414
FE0000654,AST001039,LOC0001,2024-10-09 10:21:36,Obstruction,Wear & Tear,Rain,12.27,WO0001710
FE0000655,AST001175,LOC0001,2024-10-31 00:14:39,Relay failure,Water Ingress,Rain,4.67,WO0002965
FE0000656,AST000208,LOC0013,2023-12-15 04:15:41,Door fault,Water Ingress,Clear,5.56,WO0007821
FE0000657,AST000301,LOC0011,2023-08-02 04:26:41,Power loss,Power Quality,Clear,2.21,WO0006443
FE0000658,AST000029,LOC0023,2023-03-14 20:35:49,Door fault,Wear & Tear,High Humidity,13.03,WO0003385
FE0000659,AST000727,LOC0018,2024-07-02 12:55:55,Handrail failure,Water Ingress,Clear,10.84,WO0008036
FE0000660,AST000451,LOC0018,2024-04-26 12:34:23,Door fault,Power Quality,Clear,11.08,WO0002665
FE0000661,AST000150,LOC0010,2024-10-08 08:03:24,Propulsion fault,Design Limitation,Clear,5.14,WO0000653
FE0000662,AST000308,LOC0006,2025-02-08 11:23:43,Door fault,Design Limitation,Snow,16.05,WO0007914
FE0000663,AST000761,LOC0013,2023-05-18 14:10:34,Brake issue,Vandalism,Clear,4.28,WO0008840
FE0000664,AST000347,LOC0017,2025-12-17 08:04:22,Propulsion fault,Water Ingress,Clear,12.36,WO0001350
FE0000665,AST000470,LOC0020,2025-12-10 19:56:50,Relay failure,Water Ingress,Clear,9.82,WO0000599
FE0000666,AST000078,LOC0013,2025-05-15 23:09:21,Relay failure,Water Ingress,High Humidity,2.72,
FE0000667,AST000240,LOC0004,2024-06-28 15:35:36,Heater failure,Wear & Tear,Rain,4.76,WO0003793
FE0000668,AST000585,LOC0025,2025-12-25 08:09:36,Control failure,Water Ingress,Clear,9.03,WO0007330
FE0000669,AST000634,LOC0016,2023-03-04 18:47:27,Water intrusion,Debris,High Humidity,4.97,WO0003028
FE0000670,AST000293,LOC0009,2024-05-06 23:42:59,Overheating,Design Limitation,Clear,29.16,
FE0000671,AST001018,LOC0003,2025-11-29 02:24:25,Motor issue,Wear & Tear,Rain,11.88,
FE0000672,AST001165,LOC0002,2024-04-22 21:52:35,Obstruction,Wear & Tear,Clear,4.77,
FE0000673,AST000928,LOC0006,2025-04-26 02:45:00,Control failure,Wear & Tear,Rain,2.92,
FE0000674,AST000002,LOC0013,2024-09-08 12:49:59,Handrail failure,Vandalism,Clear,19.1,WO0003566
FE0000675,AST000565,LOC0015,2024-11-02 22:55:55,Control board fault,Water Ingress,Snow,19.57,
FE0000676,AST000214,LOC0020,2025-08-25 13:23:34,Trip event,Debris,Clear,12.08,WO0000868
FE0000677,AST000850,LOC0008,2024-06-27 17:39:05,Hydraulic leak,Wear & Tear,Clear,0.35,
FE0000678,AST000112,LOC0018,2023-08-27 22:36:59,Power loss,Wear & Tear,Clear,5.97,WO0000917
FE0000679,AST000180,LOC0009,2024-12-11 19:19:35,HVAC failure,Wear & Tear,Clear,8.7,WO0007461
FE0000680,AST000090,LOC0024,2023-12-29 19:36:07,Motor issue,Wear & Tear,Rain,3.62,
FE0000681,AST000649,LOC0024,2024-12-27 04:47:33,Step chain issue,Unknown,Rain,10.44,WO0001613
FE0000682,AST000151,LOC0009,2025-01-09 21:34:47,Relay failure,Water Ingress,Clear,5.14,WO0005151
FE0000683,AST000828,LOC0013,2024-06-08 19:01:36,HVAC failure,Water Ingress,High Humidity,4.41,WO0002698
FE0000684,AST000121,LOC0017,2025-03-08 12:00:15,Heater failure,Power Quality,Snow,11.28,WO0005399
FE0000685,AST000479,LOC0011,2023-11-29 00:48:47,Brake issue,Wear & Tear,Clear,3.29,WO0001835
FE0000686,AST001048,LOC0014,2023-07-14 07:08:07,Propulsion fault,Water Ingress,Heat Wave,5.57,WO0008812
FE0000687,AST000391,LOC0002,2023-02-04 05:18:07,Motor issue,Water Ingress,Rain,10.43,WO0008177
FE0000688,AST000658,LOC0022,2025-05-15 15:48:28,Insulation fault,Water Ingress,Rain,4.25,WO0000557
FE0000689,AST000680,LOC0024,2025-09-06 07:35:03,Bond wire issue,Water Ingress,High Humidity,11.77,WO0005150
FE0000690,AST000725,LOC0011,2024-12-28 03:42:26,Power loss,Wear & Tear,High Humidity,8.0,WO0006513
FE0000691,AST000344,LOC0025,2023-02-27 07:27:12,Sensor fault,Wear & Tear,High Humidity,9.33,
FE0000692,AST000215,LOC0016,2024-07-13 19:25:12,Relay failure,Unknown,Heat Wave,10.92,WO0006258
FE0000693,AST001019,LOC0006,2024-09-28 16:30:08,Brake issue,Power Quality,High Humidity,4.65,WO0004371
FE0000694,AST001152,LOC0020,2024-12-18 14:27:41,Obstruction,Wear & Tear,Clear,0.42,WO0004026
FE0000695,AST001113,LOC0001,2024-02-19 04:55:42,Sensor fault,Wear & Tear,Rain,8.21,WO0008276
FE0000696,AST000075,LOC0017,2025-11-12 02:18:09,Insulation breakdown,Wear & Tear,Clear,7.49,WO0003894
FE0000697,AST000254,LOC0011,2023-02-11 17:14:21,Communication loss,Wear & Tear,Clear,5.81,WO0008197
FE0000698,AST000809,LOC0013,2024-07-12 21:35:31,Track circuit failure,Wear & Tear,Clear,4.57,
FE0000699,AST000208,LOC0013,2025-03-23 13:21:10,Hydraulic leak,Improper Adjustment,Rain,2.87,WO0007017
FE0000700,AST001032,LOC0011,2023-10-13 08:36:18,Heater failure,Design Limitation,Rain,7.49,WO0001353
FE0000701,AST001021,LOC0017,2023-04-27 01:50:10,Motor issue,Vandalism,Rain,10.08,WO0002572
FE0000702,AST000224,LOC0022,2025-01-05 18:23:53,Water intrusion,Wear & Tear,Clear,1.45,WO0004825
FE0000703,AST000898,LOC0014,2025-03-09 11:41:02,Obstruction,Unknown,Rain,5.32,
FE0000704,AST000423,LOC0009,2024-05-16 07:22:10,Propulsion fault,Power Quality,Heat Wave,7.15,WO0001580
FE0000705,AST000881,LOC0018,2024-05-22 04:15:56,Motor failure,Water Ingress,Heat Wave,12.85,WO0004091
FE0000706,AST000750,LOC0014,2025-06-14 04:59:15,Control board fault,Power Quality,Clear,15.65,WO0000068
FE0000707,AST000248,LOC0023,2025-11-17 02:12:47,HVAC failure,Debris,Clear,17.62,WO0006099
FE0000708,AST000839,LOC0007,2024-11-18 21:39:50,Door fault,Wear & Tear,High Humidity,5.12,WO0001985
FE0000709,AST000417,LOC0014,2023-11-06 03:07:04,Sensor fault,Wear & Tear,Clear,9.37,
FE0000710,AST000590,LOC0012,2024-01-26 13:46:21,Track circuit failure,Wear & Tear,Rain,11.24,
FE0000711,AST000327,LOC0016,2025-09-25 17:46:43,Power loss,Unknown,Clear,6.39,
FE0000712,AST000021,LOC0017,2025-02-16 06:26:51,Short circuit,Design Limitation,Clear,9.32,WO0004097
FE0000713,AST000497,LOC0001,2023-11-14 06:02:43,Interlocking fault,Wear & Tear,Rain,3.39,WO0008473
FE0000714,AST000028,LOC0019,2025-01-23 20:05:27,Motor issue,Design Limitation,Clear,20.65,
FE0000715,AST000234,LOC0023,2023-02-21 14:23:31,Handrail failure,Wear & Tear,Heat Wave,17.94,WO0000272
FE0000716,AST001100,LOC0019,2024-05-22 14:19:32,Trip event,Wear & Tear,High Humidity,5.31,WO0003971
FE0000717,AST001066,LOC0004,2024-05-12 20:36:59,Communication loss,Water Ingress,Heat Wave,6.85,WO0006903
FE0000718,AST000626,LOC0022,2025-06-28 01:11:08,HVAC failure,Wear & Tear,Clear,13.63,WO0004851
FE0000719,AST000678,LOC0019,2023-11-08 01:42:52,HVAC failure,Wear & Tear,High Humidity,3.9,WO0001451
FE0000720,AST000671,LOC0001,2025-10-13 18:45:14,Propulsion fault,Water Ingress,Clear,2.14,WO0007620
FE0000721,AST000979,LOC0001,2023-07-12 20:35:06,Motor failure,Unknown,Clear,6.19,WO0005852
FE0000722,AST000675,LOC0003,2023-12-12 22:10:41,Relay failure,Wear & Tear,Heat Wave,6.95,WO0000646
FE0000723,AST000687,LOC0012,2025-06-01 23:00:47,Communication loss,Wear & Tear,Clear,2.77,WO0001418
FE0000724,AST000674,LOC0015,2023-07-30 13:07:20,Relay failure,Wear & Tear,Clear,2.16,WO0003474
FE0000725,AST000591,LOC0007,2023-04-20 04:33:29,Heater failure,Debris,Clear,0.83,WO0000421
FE0000726,AST000680,LOC0024,2023-10-12 18:51:15,Short circuit,Vandalism,Clear,3.33,WO0005150
FE0000727,AST001125,LOC0016,2025-09-12 14:09:40,Door fault,Wear & Tear,Rain,12.39,
FE0000728,AST000371,LOC0011,2023-12-14 23:36:07,Insulation breakdown,Unknown,Rain,0.84,
FE0000729,AST001135,LOC0018,2023-11-15 22:36:17,Relay failure,Wear & Tear,Clear,4.43,WO0003925
FE0000730,AST000678,LOC0019,2024-05-13 02:07:26,Brake issue,Design Limitation,Rain,12.88,WO0001451
FE0000731,AST000449,LOC0019,2023-06-16 11:58:15,Short circuit,Water Ingress,Clear,3.99,WO0006040
FE0000732,AST000149,LOC0005,2023-02-14 20:48:36,Power loss,Wear & Tear,High Humidity,4.33,WO0002559
FE0000733,AST001176,LOC0006,2023-08-21 09:50:08,Door fault,Wear & Tear,Clear,6.76,WO0008410
FE0000734,AST000543,LOC0024,2023-05-26 19:54:14,Track circuit failure,Water Ingress,Snow,12.66,WO0008369
FE0000735,AST000952,LOC0016,2024-06-30 13:33:27,Control failure,Wear & Tear,Clear,2.83,
FE0000736,AST000775,LOC0007,2024-04-21 03:19:22,Brake issue,Vandalism,Clear,1.29,WO0007395
FE0000737,AST000146,LOC0004,2024-12-08 09:14:30,Alignment issue,Power Quality,Rain,16.66,WO0002011
FE0000738,AST000187,LOC0013,2024-12-05 07:10:56,Track circuit failure,Vandalism,Rain,16.17,WO0004413
FE0000739,AST000895,LOC0023,2024-01-02 21:51:21,Trip event,Water Ingress,Clear,10.34,WO0006971
FE0000740,AST000665,LOC0020,2025-07-29 10:48:18,Relay failure,Debris,Clear,0.89,WO0003054
FE0000741,AST000384,LOC0023,2025-08-04 10:51:57,Motor failure,Power Quality,Snow,13.84,WO0002907
FE0000742,AST000265,LOC0019,2023-04-18 19:47:24,Insulation fault,Improper Adjustment,Rain,0.9,
FE0000743,AST001100,LOC0019,2025-06-03 12:54:08,Insulation fault,Improper Adjustment,High Humidity,6.08,
FE0000744,AST000230,LOC0024,2023-03-17 19:59:49,Motor issue,Unknown,Rain,3.88,
FE0000745,AST001123,LOC0006,2023-07-10 22:12:09,Motor issue,Water Ingress,Clear,4.09,WO0003862
FE0000746,AST000839,LOC0007,2024-04-11 15:23:31,Brake issue,Wear & Tear,Heat Wave,7.28,
FE0000747,AST000359,LOC0025,2025-05-26 07:49:05,Overheating,Debris,Clear,8.75,WO0003998
FE0000748,AST000718,LOC0019,2023-04-13 04:02:17,Heater failure,Vandalism,Clear,15.52,WO0006856
FE0000749,AST000821,LOC0024,2025-03-30 11:47:05,Obstruction,Water Ingress,Rain,9.23,
FE0000750,AST000435,LOC0013,2023-06-22 09:21:30,Interlocking fault,Water Ingress,High Humidity,8.73,WO0007073
FE0000751,AST000814,LOC0019,2024-03-06 07:37:25,Brake issue,Design Limitation,Rain,3.38,WO0005473
FE0000752,AST000557,LOC0002,2023-04-17 18:03:03,Motor failure,Wear & Tear,Clear,2.61,WO0006535
FE0000753,AST000261,LOC0004,2025-02-16 05:04:47,Propulsion fault,Water Ingress,Rain,6.96,WO0008161
FE0000754,AST001079,LOC0014,2024-04-02 03:48:12,Handrail failure,Water Ingress,Clear,12.83,WO0003897
FE0000755,AST000237,LOC0011,2025-02-17 17:19:42,Communication loss,Wear & Tear,Clear,11.17,WO0003311
FE0000756,AST000898,LOC0014,2024-09-21 16:45:57,Obstruction,Debris,Clear,11.69,
FE0000757,AST000529,LOC0013,2023-05-11 06:09:19,Brake issue,Water Ingress,Clear,23.81,
FE0000758,AST000435,LOC0013,2024-06-17 11:15:52,Communication loss,Wear & Tear,Clear,2.76,WO0007073
FE0000759,AST000129,LOC0020,2023-09-04 05:49:38,Alignment issue,Water Ingress,Clear,3.98,
FE0000760,AST000732,LOC0003,2024-09-29 18:36:58,Water intrusion,Wear & Tear,Rain,4.61,WO0000209
FE0000761,AST000742,LOC0019,2025-09-11 23:09:41,Relay failure,Vandalism,Clear,2.95,
FE0000762,AST000989,LOC0012,2025-07-24 02:00:04,Short circuit,Wear & Tear,Clear,17.09,WO0005360
FE0000763,AST001180,LOC0025,2024-05-31 11:14:54,Power loss,Debris,Clear,13.26,
FE0000764,AST000005,LOC0011,2024-12-03 04:05:50,HVAC failure,Improper Adjustment,Clear,8.39,WO0004210
FE0000765,AST000769,LOC0014,2024-08-29 23:22:44,Insulation breakdown,Wear & Tear,Clear,2.62,WO0007096
FE0000766,AST000224,LOC0022,2023-08-06 15:09:31,Short circuit,Vandalism,Heat Wave,11.66,WO0006391
FE0000767,AST000907,LOC0018,2025-03-18 01:34:24,Communication loss,Wear & Tear,High Humidity,5.88,WO0000703
FE0000768,AST000858,LOC0015,2024-01-05 10:40:47,Relay failure,Water Ingress,Rain,19.68,
FE0000769,AST000063,LOC0021,2025-09-25 16:24:19,Insulation fault,Wear & Tear,Snow,3.93,
FE0000770,AST000046,LOC0013,2024-08-29 11:54:42,Propulsion fault,Wear & Tear,High Humidity,8.16,
FE0000771,AST001168,LOC0023,2025-07-17 06:19:35,Sensor fault,Power Quality,Rain,7.41,
FE0000772,AST000012,LOC0005,2024-09-27 03:23:59,Communication loss,Wear & Tear,Clear,2.81,
FE0000773,AST000348,LOC0023,2024-04-30 12:24:48,Insulation fault,Wear & Tear,Clear,7.53,WO0007794
FE0000774,AST000949,LOC0012,2025-04-07 05:51:50,Brake issue,Improper Adjustment,Clear,12.59,WO0008138
FE0000775,AST000643,LOC0001,2024-02-16 03:23:04,Heater failure,Unknown,Clear,10.26,WO0007180
FE0000776,AST000293,LOC0009,2024-08-29 02:26:37,Control failure,Wear & Tear,Clear,4.99,
FE0000777,AST001186,LOC0009,2024-07-12 10:36:59,Motor failure,Vandalism,Rain,3.26,
FE0000778,AST000833,LOC0013,2024-08-24 10:35:28,Vibration high,Power Quality,Clear,8.6,WO0005207
FE0000779,AST000534,LOC0021,2025-09-17 00:31:58,Propulsion fault,Wear & Tear,Clear,11.09,WO0001800
FE0000780,AST001052,LOC0008,2023-03-15 13:08:46,Relay failure,Wear & Tear,Clear,4.34,WO0003465
FE0000781,AST001005,LOC0010,2025-06-02 07:36:02,Sensor fault,Debris,Rain,17.77,
FE0000782,AST000595,LOC0008,2024-03-08 06:44:31,Alignment issue,Wear & Tear,Clear,6.26,WO0004607
FE0000783,AST000891,LOC0015,2025-03-29 16:03:06,Track circuit failure,Debris,Clear,4.26,WO0007399
FE0000784,AST000326,LOC0014,2023-05-02 11:56:29,Propulsion fault,Water Ingress,High Humidity,4.54,WO0005625
FE0000785,AST000151,LOC0009,2025-05-09 01:21:10,Relay failure,Improper Adjustment,Clear,8.72,WO0001361
FE0000786,AST000275,LOC0002,2024-03-26 06:03:53,Door fault,Water Ingress,Rain,2.42,
FE0000787,AST001018,LOC0003,2025-10-18 20:12:28,Step chain issue,Wear & Tear,Snow,18.63,WO0004948
FE0000788,AST000245,LOC0015,2023-11-06 08:55:12,Sensor fault,Water Ingress,Rain,12.9,WO0006200
FE0000789,AST000040,LOC0024,2024-01-23 01:45:44,Sensor fault,Improper Adjustment,Clear,11.27,
FE0000790,AST000666,LOC0013,2025-01-20 04:59:53,Interlocking fault,Debris,Clear,11.33,WO0006618
FE0000791,AST000244,LOC0012,2023-04-28 03:00:44,HVAC failure,Wear & Tear,High Humidity,5.29,WO0002234
FE0000792,AST000523,LOC0013,2023-04-26 09:35:53,Interlocking fault,Water Ingress,Clear,5.64,WO0000633
FE0000793,AST001136,LOC0010,2024-01-07 09:03:50,Interlocking fault,Debris,Clear,3.12,WO0006846
FE0000794,AST000903,LOC0017,2024-10-18 12:55:43,HVAC failure,Wear & Tear,Clear,7.08,
FE0000795,AST000141,LOC0011,2024-12-11 03:12:22,Handrail failure,Wear & Tear,High Humidity,4.79,WO0008850
FE0000796,AST001079,LOC0014,2025-09-16 01:09:36,Step chain issue,Wear & Tear,Heat Wave,3.39,WO0003897
FE0000797,AST000030,LOC0006,2025-03-27 07:46:53,Door fault,Design Limitation,Clear,16.2,WO0008642
FE0000798,AST000450,LOC0025,2024-02-09 09:18:16,HVAC failure,Water Ingress,High Humidity,3.43,WO0005602
FE0000799,AST000692,LOC0002,2023-03-08 00:54:45,Sensor fault,Debris,Clear,11.83,WO0003513
FE0000800,AST000784,LOC0019,2023-11-01 03:17:42,Trip event,Power Quality,Clear,8.85,WO0001625
FE0000801,AST001124,LOC0001,2023-01-11 17:32:43,HVAC failure,Wear & Tear,Rain,2.7,WO0001067
FE0000802,AST000523,LOC0013,2025-03-10 08:17:09,Interlocking fault,Water Ingress,Clear,11.21,WO0000633
FE0000803,AST000523,LOC0013,2023-11-17 09:41:22,Track circuit failure,Wear & Tear,Clear,2.31,WO0000633
FE0000804,AST000779,LOC0014,2025-08-27 08:16:52,HVAC failure,Vandalism,Heat Wave,11.28,WO0001226
FE0000805,AST000022,LOC0007,2025-06-02 20:20:02,Motor issue,Wear & Tear,Clear,7.02,
FE0000806,AST000816,LOC0004,2025-09-11 21:59:05,Control failure,Wear & Tear,Clear,8.0,WO0006407
FE0000807,AST000468,LOC0017,2025-01-20 13:19:12,Interlocking fault,Wear & Tear,Heat Wave,20.16,WO0006074
FE0000808,AST000247,LOC0013,2025-04-14 13:02:46,Interlocking fault,Unknown,Heat Wave,7.46,WO0001239
FE0000809,AST000282,LOC0001,2025-09-20 09:04:43,Insulation breakdown,Vandalism,Clear,5.32,WO0007758
FE0000810,AST000133,LOC0016,2024-02-24 03:28:06,Insulation fault,Power Quality,Clear,5.44,WO0004531
FE0000811,AST000420,LOC0005,2023-04-19 06:45:07,Relay failure,Debris,High Humidity,19.72,WO0006302
FE0000812,AST000789,LOC0018,2023-10-19 13:23:38,Control board fault,Debris,Clear,5.39,
FE0000813,AST000989,LOC0012,2024-01-19 02:38:30,Bond wire issue,Wear & Tear,Snow,6.11,WO0008196
FE0000814,AST000348,LOC0023,2024-08-17 15:00:23,Control failure,Power Quality,Heat Wave,2.92,WO0007794
FE0000815,AST000603,LOC0005,2024-10-28 00:17:56,HVAC failure,Power Quality,Rain,6.01,WO0006292
FE0000816,AST000710,LOC0007,2024-11-10 16:27:57,Bond wire issue,Wear & Tear,Clear,4.41,
FE0000817,AST000633,LOC0002,2024-04-12 04:05:20,Short circuit,Wear & Tear,Clear,3.85,WO0002257
FE0000818,AST001108,LOC0018,2023-01-22 13:40:28,Water intrusion,Wear & Tear,Clear,5.89,WO0008363
FE0000819,AST000753,LOC0008,2024-06-03 12:44:42,Step chain issue,Water Ingress,Clear,12.11,
FE0000820,AST001130,LOC0008,2023-12-21 13:42:54,Interlocking fault,Design Limitation,Clear,7.42,WO0004820
FE0000821,AST000907,LOC0018,2024-01-05 05:32:06,Interlocking fault,Water Ingress,Clear,10.36,
FE0000822,AST000177,LOC0004,2024-02-06 17:56:18,Heater failure,Wear & Tear,Rain,1.56,WO0005497
FE0000823,AST000177,LOC0004,2024-07-22 13:34:35,Alignment issue,Improper Adjustment,Rain,4.36,WO0005497
FE0000824,AST000968,LOC0014,2024-04-10 04:24:21,Door fault,Improper Adjustment,Rain,10.57,WO0005278
FE0000825,AST001074,LOC0025,2025-05-02 09:02:29,Power loss,Water Ingress,High Humidity,7.47,WO0007611
FE0000826,AST000898,LOC0014,2023-04-15 08:34:12,Motor failure,Unknown,Clear,8.94,WO0004789
FE0000827,AST000306,LOC0012,2024-05-23 07:27:17,Sensor fault,Wear & Tear,Clear,8.87,
FE0000828,AST000579,LOC0011,2025-09-27 16:48:05,Short circuit,Water Ingress,Rain,2.76,
FE0000829,AST000304,LOC0002,2023-05-03 01:06:34,Sensor fault,Wear & Tear,Clear,10.72,
FE0000830,AST000310,LOC0014,2025-10-29 20:50:42,Relay failure,Wear & Tear,Heat Wave,7.61,WO0002554
FE0000831,AST001028,LOC0007,2024-03-31 06:01:09,Insulation fault,Wear & Tear,Clear,4.82,
FE0000832,AST001158,LOC0017,2025-07-26 18:07:20,Communication loss,Water Ingress,High Humidity,7.72,WO0008266
FE0000833,AST000412,LOC0009,2025-07-01 17:53:09,HVAC failure,Unknown,Rain,5.57,WO0005999
FE0000834,AST000211,LOC0016,2025-07-06 05:45:19,Door fault,Power Quality,Clear,3.41,WO0002881
FE0000835,AST000125,LOC0021,2024-12-06 22:08:44,Interlocking fault,Wear & Tear,Clear,10.1,WO0005164
FE0000836,AST000372,LOC0019,2023-05-21 10:46:12,Water intrusion,Wear & Tear,Clear,3.7,WO0000684
FE0000837,AST000764,LOC0004,2024-09-07 19:29:28,Door fault,Debris,High Humidity,3.16,WO0003043
FE0000838,AST000423,LOC0009,2025-06-01 11:33:47,HVAC failure,Water Ingress,Clear,5.19,WO0005748
FE0000839,AST001141,LOC0008,2025-05-02 11:18:19,Overheating,Water Ingress,Clear,3.2,WO0000483
FE0000840,AST000142,LOC0017,2024-01-25 03:58:49,Door fault,Power Quality,Heat Wave,4.62,
FE0000841,AST000547,LOC0015,2025-12-17 16:11:04,Communication loss,Wear & Tear,Clear,3.17,WO0006951
FE0000842,AST000821,LOC0024,2023-06-23 20:44:56,Alignment issue,Debris,Clear,3.88,
FE0000843,AST000489,LOC0007,2023-02-27 17:23:29,Sensor fault,Improper Adjustment,Clear,10.71,WO0002081
FE0000844,AST000859,LOC0001,2025-01-02 09:16:23,Track circuit failure,Wear & Tear,Heat Wave,1.81,WO0005072
FE0000845,AST000551,LOC0025,2023-06-12 02:13:52,Interlocking fault,Wear & Tear,Clear,5.06,
FE0000846,AST000932,LOC0007,2025-05-16 17:12:06,Track circuit failure,Vandalism,Clear,5.8,WO0002300
FE0000847,AST000335,LOC0007,2025-10-15 21:12:53,Track circuit failure,Improper Adjustment,Heat Wave,22.58,WO0005163
