work_order_id,asset_id,location_id,work_order_type,priority,status,request_channel,created_at,completed_at,assigned_technician_id,planned_hours,labor_cost_usd,parts_cost_usd,total_cost_usd
WO0001698,AST001190,LOC0016,Preventive,P4,Closed,Auto Alert,2023-10-19 14:22:01,2023-11-07 14:22:01,TECH0065,1.13,60.28,91.0,151.28
WO0001699,AST000361,LOC0017,Preventive,P4,Closed,Mobile,2024-10-16 16:42:10,2024-10-28 16:42:10,TECH0062,10.89,625.8,35.61,661.41
WO0001700,AST000581,LOC0006,Corrective,P1,Closed,Phone,2025-06-16 20:49:06,2025-07-02 20:49:06,TECH0029,0.72,48.85,104.67,153.52
WO0001701,AST000339,LOC0004,Inspection,P2,Backlog,Mobile,2023-01-30 17:30:54,,TECH0066,5.11,286.75,52.71,339.46
WO0001702,AST000418,LOC0015,Corrective,P1,Backlog,Web,2024-07-30 16:02:01,,TECH0060,23.15,1302.09,210.63,1512.72
WO0001703,AST000058,LOC0004,Inspection,P2,Closed,Mobile,2025-03-20 12:21:55,2025-04-02 12:21:55,TECH0068,3.25,234.06,57.53,291.59
WO0001704,AST000429,LOC0012,Preventive,P2,In Progress,Mobile,2024-04-09 19:48:16,,TECH0068,1.73,119.14,34.24,153.38
WO0001705,AST000665,LOC0020,Corrective,P4,Cancelled,Mobile,2024-12-26 01:38:31,,TECH0049,6.23,322.69,197.21,519.9
WO0001706,AST000742,LOC0019,Inspection,P1,Closed,Web,2023-02-07 19:31:12,2023-02-17 19:31:12,TECH0002,2.11,161.65,40.97,202.62
WO0001707,AST000499,LOC0017,Corrective,P4,Backlog,Phone,2024-08-15 22:53:51,,TECH0059,2.54,196.83,336.38,533.21
WO0001708,AST000774,LOC0013,Inspection,P4,In Progress,Phone,2024-02-25 10:18:50,,TECH0067,1.18,73.43,125.07,198.5
WO0001709,AST000023,LOC0021,Preventive,P2,Closed,Auto Alert,2023-05-25 00:11:09,2023-06-10 00:11:09,TECH0070,2.46,117.33,240.18,357.51
WO0001710,AST001039,LOC0001,Corrective,P3,Closed,Web,2025-11-06 16:37:02,2025-11-19 16:37:02,TECH0051,10.66,541.27,144.41,685.68
WO0001711,AST000264,LOC0022,Corrective,P3,Backlog,Web,2023-09-01 18:32:31,,TECH0070,4.51,266.86,143.04,409.9
WO0001712,AST000789,LOC0018,Preventive,P2,Closed,Mobile,2023-04-02 06:52:00,2023-04-13 06:52:00,TECH0055,7.12,546.42,154.87,701.29
WO0001713,AST000158,LOC0014,Inspection,P3,Closed,Phone,2023-09-01 15:53:15,2023-09-15 15:53:15,TECH0020,4.44,294.59,24.34,318.93
WO0001714,AST001125,LOC0016,Preventive,P3,Closed,Phone,2025-06-20 05:25:10,2025-07-08 05:25:10,TECH0013,3.85,202.64,135.88,338.52
WO0001715,AST000487,LOC0016,Preventive,P1,Closed,Mobile,2024-10-18 22:45:07,2024-10-30 22:45:07,TECH0041,17.52,1392.44,114.55,1506.99
WO0001716,AST000690,LOC0005,Inspection,P4,Closed,Mobile,2025-06-16 20:50:52,2025-06-27 20:50:52,TECH0013,0.98,63.11,124.42,187.53
WO0001717,AST000491,LOC0008,Corrective,P2,Closed,Web,2024-05-20 11:29:18,2024-05-23 11:29:18,TECH0048,5.79,422.27,171.72,593.99
WO0001718,AST000593,LOC0005,Inspection,P2,In Progress,Mobile,2023-05-09 02:15:04,,TECH0034,0.52,32.09,65.38,97.47
WO0001719,AST000976,LOC0003,Inspection,P4,Closed,Auto Alert,2024-02-29 09:44:07,2024-03-08 09:44:07,TECH0038,2.43,110.99,106.24,217.23
WO0001720,AST000943,LOC0023,Preventive,P1,Backlog,Phone,2023-08-07 17:57:02,,TECH0011,11.86,560.78,104.18,664.96
WO0001721,AST000161,LOC0008,Corrective,P1,Cancelled,Phone,2024-09-01 12:28:38,,TECH0023,2.33,131.67,99.8,231.47
WO0001722,AST000256,LOC0013,Emergency,P2,Closed,Web,2023-10-23 00:29:28,2023-11-07 00:29:28,TECH0051,5.74,390.08,364.5,754.58
WO0001723,AST000407,LOC0019,Preventive,P2,Cancelled,Mobile,2025-11-28 06:38:34,,TECH0048,2.4,166.12,43.03,209.15
WO0001724,AST000762,LOC0008,Corrective,P2,Closed,Phone,2024-02-18 00:55:17,2024-02-20 00:55:17,TECH0064,0.5,41.77,206.39,248.16
WO0001725,AST000717,LOC0025,Emergency,P3,Closed,Mobile,2023-12-11 01:00:14,2023-12-29 01:00:14,TECH0057,2.85,184.44,147.85,332.29
WO0001726,AST000481,LOC0012,Preventive,P2,Closed,Web,2025-12-14 00:32:39,2025-12-29 00:32:39,TECH0067,7.52,480.95,23.2,504.15
WO0001727,AST000326,LOC0014,Emergency,P3,Closed,Phone,2024-07-23 14:44:09,2024-08-09 14:44:09,TECH0016,7.43,410.22,347.29,757.51
WO0001728,AST000161,LOC0008,Corrective,P1,Backlog,Web,2023-07-06 16:20:58,,TECH0022,10.83,802.44,193.78,996.22
WO0001729,AST000073,LOC0018,Inspection,P2,Closed,Mobile,2024-06-10 00:07:26,2024-06-21 00:07:26,TECH0036,6.69,531.5,132.1,663.6
WO0001730,AST000382,LOC0003,Corrective,P4,Closed,Web,2023-10-06 21:20:29,2023-10-19 21:20:29,TECH0037,14.1,827.21,47.17,874.38
WO0001731,AST000999,LOC0012,Corrective,P3,Backlog,Auto Alert,2025-02-23 17:22:43,,TECH0035,1.94,123.67,89.9,213.57
WO0001732,AST000759,LOC0013,Inspection,P3,Cancelled,Mobile,2024-09-20 04:51:02,,TECH0014,4.32,295.67,116.58,412.25
WO0001733,AST000499,LOC0017,Preventive,P2,Backlog,Mobile,2025-03-10 16:01:41,,TECH0017,2.77,157.53,253.8,411.33
WO0001734,AST001131,LOC0003,Corrective,P3,Closed,Auto Alert,2025-10-26 10:46:22,2025-10-31 10:46:22,TECH0024,2.12,100.03,287.3,387.33
WO0001735,AST001185,LOC0023,Emergency,P4,Closed,Mobile,2025-03-09 07:58:42,2025-03-16 07:58:42,TECH0066,4.83,320.57,226.18,546.75
WO0001736,AST000663,LOC0024,Emergency,P4,Closed,Mobile,2024-01-08 22:05:43,2024-01-21 22:05:43,TECH0020,9.52,673.01,475.76,1148.77
WO0001737,AST000618,LOC0001,Emergency,P3,Closed,Auto Alert,2023-08-09 15:56:04,2023-08-21 15:56:04,TECH0040,7.99,444.44,190.43,634.87
WO0001738,AST000496,LOC0014,Corrective,P3,Backlog,Web,2024-08-02 15:50:23,,TECH0037,3.72,241.02,11.42,252.44
WO0001739,AST000978,LOC0007,Corrective,P1,In Progress,Web,2024-05-06 18:10:03,,TECH0029,14.11,1207.7,413.15,1620.85
WO0001740,AST001074,LOC0025,Corrective,P1,Backlog,Phone,2023-12-09 18:58:19,,TECH0019,13.33,1012.95,127.96,1140.91
WO0001741,AST000926,LOC0025,Corrective,P1,Closed,Mobile,2025-06-07 05:40:15,2025-06-17 05:40:15,TECH0037,5.64,394.79,759.24,1154.03
WO0001742,AST000240,LOC0004,Corrective,P2,Closed,Mobile,2025-09-22 18:11:07,2025-09-28 18:11:07,TECH0002,9.43,561.93,63.42,625.35
WO0001743,AST000780,LOC0011,Preventive,P1,Closed,Web,2024-02-22 18:36:46,2024-03-10 18:36:46,TECH0066,6.25,445.42,240.22,685.64
WO0001744,AST000098,LOC0021,Preventive,P2,Closed,Auto Alert,2025-01-15 13:45:31,2025-01-20 13:45:31,TECH0019,2.42,117.55,125.34,242.89
WO0001745,AST000234,LOC0023,Corrective,P3,In Progress,Mobile,2025-12-13 18:13:28,,TECH0055,8.3,530.79,362.02,892.81
WO0001746,AST000388,LOC0003,Preventive,P3,In Progress,Auto Alert,2023-01-14 00:31:30,,TECH0010,6.18,369.06,58.85,427.91
WO0001747,AST000056,LOC0014,Preventive,P3,In Progress,Web,2024-02-04 10:35:44,,TECH0056,1.3,94.2,407.11,501.31
WO0001748,AST000105,LOC0003,Preventive,P2,Backlog,Web,2025-03-18 22:13:44,,TECH0003,6.82,294.38,351.89,646.27
WO0001749,AST000302,LOC0023,Inspection,P3,Closed,Mobile,2024-06-28 22:41:03,2024-06-30 22:41:03,TECH0029,6.1,549.37,39.33,588.7
WO0001750,AST000504,LOC0012,Emergency,P4,Closed,Mobile,2025-05-17 02:47:04,2025-05-22 02:47:04,TECH0034,2.31,139.85,199.44,339.29
WO0001751,AST000168,LOC0005,Corrective,P2,In Progress,Mobile,2024-06-03 14:31:57,,TECH0067,7.39,599.33,217.07,816.4
WO0001752,AST000290,LOC0007,Emergency,P4,Closed,Phone,2023-03-12 12:27:11,2023-03-17 12:27:11,TECH0045,2.36,170.46,116.72,287.18
WO0001753,AST000488,LOC0021,Inspection,P2,Closed,Auto Alert,2024-04-19 20:41:05,2024-04-22 20:41:05,TECH0045,1.46,99.58,28.78,128.36
WO0001754,AST000226,LOC0008,Preventive,P3,Closed,Phone,2024-03-18 22:24:08,2024-04-04 22:24:08,TECH0064,0.78,52.53,223.65,276.18
WO0001755,AST001148,LOC0002,Preventive,P3,Backlog,Phone,2025-07-14 23:11:32,,TECH0062,8.9,585.04,6.94,591.98
WO0001756,AST000232,LOC0020,Preventive,P3,Backlog,Web,2023-06-11 08:20:39,,TECH0015,8.19,492.51,51.59,544.1
WO0001757,AST000369,LOC0006,Preventive,P4,Closed,Mobile,2023-06-20 00:37:59,2023-07-07 00:37:59,TECH0028,6.82,471.94,307.44,779.38
WO0001758,AST000299,LOC0002,Corrective,P2,In Progress,Web,2023-06-04 22:35:00,,TECH0006,4.6,289.63,460.27,749.9
WO0001759,AST000441,LOC0018,Preventive,P3,Closed,Web,2024-09-13 14:13:42,2024-09-18 14:13:42,TECH0053,7.42,522.79,99.26,622.05
WO0001760,AST000649,LOC0024,Emergency,P4,Closed,Mobile,2025-12-26 03:17:45,2026-01-14 03:17:45,TECH0051,2.45,169.29,44.96,214.25
WO0001761,AST000412,LOC0009,Corrective,P3,Closed,Mobile,2025-06-12 20:04:08,2025-06-25 20:04:08,TECH0004,1.76,107.33,437.19,544.52
WO0001762,AST000003,LOC0020,Preventive,P1,Closed,Mobile,2025-07-21 02:05:45,2025-08-06 02:05:45,TECH0037,4.53,271.57,70.95,342.52
WO0001763,AST000740,LOC0005,Emergency,P1,Cancelled,Web,2024-10-19 15:55:27,,TECH0061,25.08,1696.98,452.38,2149.36
WO0001764,AST000741,LOC0011,Emergency,P4,Closed,Phone,2024-10-29 01:46:48,2024-11-02 01:46:48,TECH0065,7.34,507.95,368.3,876.25
WO0001765,AST001122,LOC0019,Inspection,P3,Closed,Web,2023-09-24 03:43:47,2023-10-02 03:43:47,TECH0024,1.91,114.7,96.81,211.51
WO0001766,AST000845,LOC0004,Inspection,P4,Backlog,Web,2025-11-17 05:20:05,,TECH0033,1.46,80.17,86.55,166.72
WO0001767,AST001122,LOC0019,Emergency,P2,Closed,Auto Alert,2025-05-12 16:07:28,2025-05-23 16:07:28,TECH0023,21.38,1443.9,423.71,1867.61
WO0001768,AST000858,LOC0015,Corrective,P3,Closed,Phone,2025-08-13 00:34:02,2025-08-29 00:34:02,TECH0061,9.02,618.18,213.83,832.01
WO0001769,AST000943,LOC0023,Inspection,P4,Closed,Phone,2025-12-13 03:55:50,2025-12-31 03:55:50,TECH0021,5.54,366.52,90.0,456.52
WO0001770,AST000610,LOC0014,Preventive,P4,Closed,Web,2024-01-17 20:53:09,2024-02-05 20:53:09,TECH0005,7.04,450.94,159.69,610.63
WO0001771,AST000821,LOC0024,Corrective,P3,Closed,Web,2023-06-07 09:41:21,2023-06-25 09:41:21,TECH0057,0.85,62.0,150.61,212.61
WO0001772,AST000558,LOC0023,Corrective,P1,Backlog,Mobile,2025-07-30 14:20:28,,TECH0070,17.75,981.08,7.31,988.39
WO0001773,AST000400,LOC0019,Preventive,P3,Closed,Auto Alert,2024-06-01 21:23:22,2024-06-19 21:23:22,TECH0012,6.65,376.52,48.0,424.52
WO0001774,AST000723,LOC0020,Preventive,P3,Closed,Web,2025-11-15 12:47:49,2025-11-28 12:47:49,TECH0029,1.69,100.16,17.55,117.71
WO0001775,AST000561,LOC0023,Preventive,P2,Closed,Mobile,2025-01-30 11:17:12,2025-02-17 11:17:12,TECH0054,3.38,215.76,161.33,377.09
WO0001776,AST000359,LOC0025,Preventive,P2,Backlog,Mobile,2023-10-09 15:08:30,,TECH0061,4.01,235.18,65.25,300.43
WO0001777,AST001155,LOC0019,Preventive,P4,In Progress,Phone,2024-01-24 12:42:04,,TECH0003,10.09,593.9,34.49,628.39
WO0001778,AST000138,LOC0001,Corrective,P1,Backlog,Mobile,2024-10-30 04:17:14,,TECH0003,8.87,656.95,117.64,774.59
WO0001779,AST000144,LOC0015,Inspection,P2,In Progress,Mobile,2024-03-07 18:48:22,,TECH0065,5.8,372.21,36.96,409.17
WO0001780,AST000610,LOC0014,Corrective,P3,Closed,Web,2023-11-05 13:48:24,2023-11-18 13:48:24,TECH0014,10.98,801.77,156.56,958.33
WO0001781,AST000022,LOC0007,Corrective,P4,Closed,Phone,2023-08-18 18:19:11,2023-08-30 18:19:11,TECH0004,2.93,190.59,224.1,414.69
WO0001782,AST001041,LOC0002,Preventive,P3,Closed,Web,2024-12-12 06:37:41,2024-12-20 06:37:41,TECH0042,8.75,506.43,114.55,620.98
WO0001783,AST000387,LOC0023,Inspection,P2,Closed,Web,2023-02-08 12:30:58,2023-02-21 12:30:58,TECH0022,3.32,252.56,71.55,324.11
WO0001784,AST000584,LOC0015,Preventive,P1,Closed,Auto Alert,2023-04-13 12:55:58,2023-04-21 12:55:58,TECH0002,29.73,1812.39,158.28,1970.67
WO0001785,AST000684,LOC0022,Preventive,P2,In Progress,Mobile,2023-02-16 13:49:06,,TECH0033,1.99,136.09,9.01,145.1
WO0001786,AST000336,LOC0008,Corrective,P2,Closed,Mobile,2025-03-14 22:27:40,2025-03-24 22:27:40,TECH0040,5.62,406.6,595.32,1001.92
WO0001787,AST000139,LOC0021,Emergency,P4,Cancelled,Phone,2023-02-02 02:36:54,,TECH0045,13.2,833.02,320.86,1153.88
WO0001788,AST000254,LOC0011,Emergency,P2,Closed,Mobile,2024-04-04 16:51:54,2024-04-06 16:51:54,TECH0019,5.01,312.97,849.73,1162.7
WO0001789,AST000109,LOC0013,Inspection,P1,In Progress,Mobile,2023-05-13 20:24:56,,TECH0070,8.35,477.3,27.66,504.96
WO0001790,AST000080,LOC0007,Corrective,P4,Closed,Phone,2024-10-05 02:25:57,2024-10-24 02:25:57,TECH0038,3.25,214.63,1040.08,1254.71
WO0001791,AST000844,LOC0004,Corrective,P1,In Progress,Web,2023-02-07 16:22:03,,TECH0006,3.14,180.01,97.16,277.17
WO0001792,AST001110,LOC0025,Corrective,P1,Cancelled,Phone,2023-01-29 07:39:50,,TECH0053,2.58,160.53,71.99,232.52
WO0001793,AST000482,LOC0022,Preventive,P3,Closed,Web,2024-03-26 01:19:05,2024-04-07 01:19:05,TECH0028,4.46,273.81,58.43,332.24
WO0001794,AST000394,LOC0003,Preventive,P1,Closed,Web,2025-01-31 12:12:05,2025-02-09 12:12:05,TECH0044,8.72,517.03,55.76,572.79
WO0001795,AST000453,LOC0012,Emergency,P2,In Progress,Web,2023-05-01 00:56:29,,TECH0048,3.8,256.93,121.63,378.56
WO0001796,AST001078,LOC0009,Emergency,P4,Backlog,Auto Alert,2024-06-27 02:39:10,,TECH0053,9.3,710.3,166.28,876.58
WO0001797,AST000342,LOC0016,Preventive,P4,In Progress,Mobile,2025-06-06 07:22:17,,TECH0013,0.86,62.56,117.04,179.6
WO0001798,AST001135,LOC0018,Preventive,P3,Closed,Mobile,2024-11-15 15:35:47,2024-12-04 15:35:47,TECH0025,2.7,122.93,51.89,174.82
WO0001799,AST000343,LOC0014,Preventive,P3,In Progress,Mobile,2023-12-12 15:45:15,,TECH0068,3.62,236.62,117.31,353.93
WO0001800,AST000534,LOC0021,Corrective,P1,In Progress,Mobile,2025-10-28 12:22:38,,TECH0051,7.45,649.21,132.38,781.59
WO0001801,AST000337,LOC0018,Preventive,P4,Closed,Mobile,2023-06-09 16:09:14,2023-06-11 16:09:14,TECH0003,3.43,225.97,21.3,247.27
WO0001802,AST000507,LOC0024,Corrective,P3,Closed,Mobile,2024-10-24 19:34:57,2024-11-07 19:34:57,TECH0038,4.82,297.17,181.24,478.41
WO0001803,AST000819,LOC0024,Preventive,P1,Closed,Mobile,2024-04-21 19:04:21,2024-04-28 19:04:21,TECH0055,5.0,388.73,12.15,400.88
WO0001804,AST000379,LOC0025,Preventive,P2,Closed,Phone,2023-02-04 18:20:34,2023-02-05 18:20:34,TECH0036,3.74,242.0,48.96,290.96
WO0001805,AST000052,LOC0009,Preventive,P3,Closed,Mobile,2025-10-30 15:46:16,2025-11-15 15:46:16,TECH0053,2.26,173.28,57.72,231.0
WO0001806,AST000766,LOC0019,Inspection,P1,In Progress,Auto Alert,2025-02-07 23:02:07,,TECH0044,7.08,448.09,80.12,528.21
WO0001807,AST000846,LOC0006,Preventive,P2,Closed,Mobile,2023-09-07 10:25:37,2023-09-14 10:25:37,TECH0058,3.78,261.29,258.63,519.92
WO0001808,AST000257,LOC0004,Corrective,P2,Closed,Auto Alert,2023-02-27 07:55:41,2023-03-02 07:55:41,TECH0036,3.37,197.51,64.26,261.77
WO0001809,AST000825,LOC0008,Corrective,P3,In Progress,Auto Alert,2025-01-10 01:02:57,,TECH0068,7.74,580.04,18.12,598.16
WO0001810,AST000406,LOC0012,Inspection,P1,Closed,Auto Alert,2024-08-19 21:00:01,2024-09-04 21:00:01,TECH0032,6.03,388.77,40.11,428.88
WO0001811,AST000835,LOC0006,Preventive,P3,Closed,Web,2025-12-15 18:11:51,2026-01-01 18:11:51,TECH0047,1.52,100.73,82.27,183.0
WO0001812,AST000354,LOC0018,Inspection,P2,Cancelled,Mobile,2025-02-25 07:39:44,,TECH0023,8.91,662.18,90.37,752.55
WO0001813,AST000087,LOC0003,Preventive,P3,Closed,Web,2024-05-21 14:35:28,2024-05-31 14:35:28,TECH0056,2.73,189.94,403.83,593.77
WO0001814,AST000450,LOC0025,Corrective,P2,Closed,Mobile,2023-09-19 02:07:45,2023-10-01 02:07:45,TECH0043,4.67,295.47,186.51,481.98
WO0001815,AST000107,LOC0011,Corrective,P2,Closed,Mobile,2023-10-24 19:04:49,2023-10-31 19:04:49,TECH0009,6.13,313.18,648.47,961.65
WO0001816,AST000090,LOC0024,Emergency,P3,Closed,Auto Alert,2024-05-09 09:52:06,2024-05-20 09:52:06,TECH0021,9.82,627.26,165.24,792.5
WO0001817,AST000265,LOC0019,Emergency,P3,In Progress,Mobile,2023-03-04 13:58:52,,TECH0042,7.71,473.43,450.59,924.02
WO0001818,AST000635,LOC0018,Inspection,P1,Closed,Mobile,2024-02-07 16:33:05,2024-02-15 16:33:05,TECH0001,2.26,147.24,38.66,185.9
WO0001819,AST000190,LOC0008,Emergency,P3,Closed,Auto Alert,2023-08-27 02:41:49,2023-09-10 02:41:49,TECH0066,1.36,85.52,608.91,694.43
WO0001820,AST000110,LOC0025,Preventive,P4,Backlog,Phone,2023-05-04 13:26:39,,TECH0005,7.81,605.37,38.61,643.98
WO0001821,AST000460,LOC0005,Corrective,P2,In Progress,Web,2023-05-18 20:41:56,,TECH0008,2.76,194.13,252.83,446.96
WO0001822,AST000941,LOC0010,Preventive,P3,Backlog,Web,2024-01-14 09:53:37,,TECH0062,5.34,328.43,197.78,526.21
WO0001823,AST000370,LOC0003,Preventive,P2,In Progress,Mobile,2024-02-23 22:38:08,,TECH0014,4.59,330.13,58.34,388.47
WO0001824,AST000505,LOC0013,Corrective,P4,Backlog,Phone,2024-01-19 09:17:02,,TECH0060,0.55,43.66,269.86,313.52
WO0001825,AST001047,LOC0025,Inspection,P2,Closed,Mobile,2025-01-25 12:15:58,2025-01-29 12:15:58,TECH0024,2.0,117.24,16.73,133.97
WO0001826,AST000884,LOC0013,Corrective,P4,Closed,Web,2024-07-25 16:56:10,2024-08-11 16:56:10,TECH0068,12.53,785.67,528.41,1314.08
WO0001827,AST000512,LOC0023,Inspection,P3,Closed,Auto Alert,2025-11-30 17:23:53,2025-11-30 17:23:53,TECH0021,0.55,32.02,56.78,88.8
WO0001828,AST000157,LOC0012,Corrective,P3,Closed,Web,2025-03-10 11:03:52,2025-03-15 11:03:52,TECH0032,4.02,275.99,155.04,431.03
WO0001829,AST000787,LOC0022,Emergency,P2,Backlog,Mobile,2024-05-29 16:03:37,,TECH0063,11.77,1010.32,472.32,1482.64
WO0001830,AST000695,LOC0015,Inspection,P3,Closed,Mobile,2023-02-23 20:09:23,2023-02-25 20:09:23,TECH0019,1.26,96.8,79.37,176.17
WO0001831,AST000337,LOC0018,Inspection,P1,Closed,Phone,2025-09-28 07:07:09,2025-10-05 07:07:09,TECH0020,4.99,308.47,43.88,352.35
WO0001832,AST000230,LOC0024,Preventive,P2,Closed,Web,2025-03-26 05:42:58,2025-03-29 05:42:58,TECH0070,6.83,487.66,248.25,735.91
WO0001833,AST000340,LOC0014,Corrective,P2,In Progress,Mobile,2024-05-20 09:44:06,,TECH0011,8.54,660.38,54.79,715.17
WO0001834,AST000696,LOC0002,Inspection,P3,Closed,Web,2023-06-27 02:53:09,2023-07-04 02:53:09,TECH0043,3.11,151.54,84.01,235.55
WO0001835,AST000479,LOC0011,Emergency,P3,In Progress,Mobile,2023-04-28 18:14:16,,TECH0027,6.63,364.78,46.75,411.53
WO0001836,AST000508,LOC0007,Preventive,P4,Backlog,Phone,2023-11-14 09:57:06,,TECH0064,1.39,103.3,42.87,146.17
WO0001837,AST000936,LOC0002,Preventive,P2,In Progress,Phone,2023-09-10 00:25:05,,TECH0038,6.68,335.81,168.88,504.69
WO0001838,AST000776,LOC0017,Preventive,P4,Closed,Mobile,2023-08-18 04:48:41,2023-08-31 04:48:41,TECH0026,3.02,198.47,52.13,250.6
WO0001839,AST000985,LOC0006,Preventive,P4,In Progress,Auto Alert,2024-03-22 05:33:52,,TECH0024,9.94,718.24,205.71,923.95
WO0001840,AST000109,LOC0013,Inspection,P4,Closed,Auto Alert,2023-02-21 00:27:04,2023-02-23 00:27:04,TECH0055,3.97,270.82,127.05,397.87
WO0001841,AST000843,LOC0015,Preventive,P3,Backlog,Web,2023-12-23 06:41:28,,TECH0008,2.54,162.71,107.09,269.8
WO0001842,AST001083,LOC0006,Preventive,P2,Closed,Mobile,2025-08-11 18:44:14,2025-08-21 18:44:14,TECH0055,5.42,426.85,277.37,704.22
WO0001843,AST000431,LOC0008,Corrective,P4,In Progress,Web,2025-08-06 01:59:37,,TECH0007,1.42,104.15,132.15,236.3
WO0001844,AST000579,LOC0011,Corrective,P3,Closed,Phone,2023-01-10 05:07:30,2023-01-22 05:07:30,TECH0047,0.89,77.48,421.66,499.14
WO0001845,AST000346,LOC0017,Preventive,P3,Closed,Phone,2025-01-13 02:48:23,2025-01-28 02:48:23,TECH0026,2.47,132.89,136.98,269.87
WO0001846,AST000808,LOC0005,Corrective,P2,Closed,Phone,2025-12-21 05:52:17,2026-01-06 05:52:17,TECH0017,1.75,104.53,261.53,366.06
WO0001847,AST000646,LOC0022,Corrective,P2,Closed,Phone,2024-09-25 05:56:45,2024-09-27 05:56:45,TECH0019,10.12,651.16,176.0,827.16
WO0001848,AST000309,LOC0017,Emergency,P2,Backlog,Phone,2024-03-03 10:11:39,,TECH0059,28.01,2185.21,306.63,2491.84
WO0001849,AST000065,LOC0014,Inspection,P3,Closed,Web,2024-06-21 21:30:45,2024-07-08 21:30:45,TECH0062,6.06,438.9,34.89,473.79
WO0001850,AST000868,LOC0008,Emergency,P2,Closed,Web,2023-08-22 11:59:24,2023-08-28 11:59:24,TECH0033,6.76,411.99,952.98,1364.97
WO0001851,AST000657,LOC0001,Preventive,P4,Closed,Web,2024-03-11 00:16:18,2024-03-26 00:16:18,TECH0001,5.06,279.39,108.33,387.72
WO0001852,AST001128,LOC0015,Inspection,P1,Closed,Phone,2025-10-22 22:41:37,2025-11-10 22:41:37,TECH0053,2.83,153.14,3.14,156.28
WO0001853,AST000286,LOC0011,Corrective,P1,In Progress,Web,2024-11-01 08:25:02,,TECH0009,19.39,1598.43,100.48,1698.91
WO0001854,AST001148,LOC0002,Corrective,P2,Closed,Web,2024-04-16 19:28:06,2024-04-21 19:28:06,TECH0038,9.4,608.77,278.1,886.87
WO0001855,AST000568,LOC0016,Corrective,P2,Closed,Mobile,2023-05-17 10:40:34,2023-05-23 10:40:34,TECH0062,6.15,412.0,198.76,610.76
WO0001856,AST000957,LOC0010,Preventive,P2,Closed,Mobile,2025-09-19 07:31:44,2025-10-08 07:31:44,TECH0008,4.24,233.44,170.93,404.37
WO0001857,AST000456,LOC0020,Preventive,P3,Closed,Auto Alert,2023-06-27 23:22:19,2023-07-04 23:22:19,TECH0024,5.69,371.62,199.72,571.34
WO0001858,AST000481,LOC0012,Inspection,P4,Closed,Mobile,2025-03-01 03:46:56,2025-03-05 03:46:56,TECH0031,2.14,120.77,269.34,390.11
WO0001859,AST000780,LOC0011,Inspection,P2,Backlog,Web,2023-11-28 21:53:51,,TECH0012,7.0,464.22,91.1,555.32
WO0001860,AST000221,LOC0022,Preventive,P2,Closed,Auto Alert,2023-11-02 02:05:18,2023-11-12 02:05:18,TECH0027,3.32,204.76,156.22,360.98
WO0001861,AST001012,LOC0013,Corrective,P3,Closed,Web,2023-07-07 10:43:54,2023-07-07 10:43:54,TECH0026,4.49,259.77,287.26,547.03
WO0001862,AST000320,LOC0007,Inspection,P2,Closed,Web,2024-02-15 17:07:15,2024-02-17 17:07:15,TECH0065,3.07,236.32,138.22,374.54
WO0001863,AST000696,LOC0002,Corrective,P3,Closed,Mobile,2025-01-11 10:09:15,2025-01-23 10:09:15,TECH0005,4.23,329.07,238.34,567.41
WO0001864,AST000903,LOC0017,Preventive,P3,Closed,Mobile,2024-04-01 05:18:53,2024-04-18 05:18:53,TECH0059,1.85,129.43,134.27,263.7
WO0001865,AST000459,LOC0014,Inspection,P4,Backlog,Phone,2023-01-28 02:54:41,,TECH0059,1.56,73.4,81.76,155.16
WO0001866,AST000340,LOC0014,Corrective,P1,Closed,Web,2023-10-17 02:02:05,2023-10-26 02:02:05,TECH0023,8.09,440.37,114.31,554.68
WO0001867,AST000782,LOC0005,Corrective,P4,Closed,Mobile,2023-06-25 09:27:52,2023-07-14 09:27:52,TECH0058,3.81,209.0,405.06,614.06
WO0001868,AST000338,LOC0020,Corrective,P4,Backlog,Phone,2024-03-15 21:55:29,,TECH0043,11.69,979.68,214.57,1194.25
WO0001869,AST000574,LOC0002,Corrective,P1,In Progress,Web,2025-09-15 08:32:28,,TECH0067,10.83,818.72,253.64,1072.36
WO0001870,AST000329,LOC0023,Preventive,P3,Closed,Web,2025-11-20 04:54:30,2025-12-06 04:54:30,TECH0031,9.11,715.95,22.61,738.56
WO0001871,AST000718,LOC0019,Emergency,P2,In Progress,Mobile,2025-12-28 07:26:02,,TECH0019,2.22,127.68,84.75,212.43
WO0001872,AST000386,LOC0005,Preventive,P2,In Progress,Mobile,2023-05-04 09:02:33,,TECH0046,8.51,422.62,273.46,696.08
WO0001873,AST000809,LOC0013,Inspection,P4,Backlog,Web,2024-06-17 21:52:39,,TECH0031,2.96,222.49,12.18,234.67
WO0001874,AST000654,LOC0002,Inspection,P2,Closed,Web,2023-02-19 21:56:37,2023-02-20 21:56:37,TECH0031,3.08,130.37,73.33,203.7
WO0001875,AST000087,LOC0003,Corrective,P2,Closed,Mobile,2024-06-26 10:19:31,2024-07-07 10:19:31,TECH0014,2.83,186.24,203.48,389.72
WO0001876,AST000836,LOC0006,Corrective,P1,In Progress,Web,2024-09-23 11:04:46,,TECH0029,13.3,944.84,108.75,1053.59
